Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ua,brovary,50.518094,30.806712,30.78,95,90,8.95
ro,zetea,46.383333,25.366667,24.94,93,92,1.72
ec,cotacachi,0.3,-78.2666667,44.96,100,8,1.95
br,matinhos,-25.816667000000002,-48.533333,73.99,100,92,4.29
ch,langenthal,47.21526,7.796072,34.59,100,75,9.17
it,bologna,44.483333,11.333333,30.47,86,0,2.24
ar,mendoza,-32.890845,-68.827171,60.8,51,0,2.24
dk,hong,55.51027,11.290181,37.4,91,20,24.16
de,aldenhoven,50.9,6.283333,34.57,95,90,11.41
ve,la fria,8.218888900000001,-72.2483333,82.4,65,75,2.24
sz,hlatikulu,-26.9666667,31.3166667,60.8,98,64,2.17
in,umri,26.3404,79.2561,59.59,96,88,5.97
us,hamburg,42.7158333,-78.8297222,32.72,83,90,20.8
ru,klyuchevsk,57.1216,60.9414,10.4,92,90,8.95
us,gretna,29.914444399999997,-90.0538889,66.56,93,90,16.11
ua,bakhmach,51.180763,32.756943,27.19,93,92,10.22
gb,colwyn bay,53.3,-3.75,37.4,97,75,13.87
be,verlaine,50.6,5.316667,34.02,86,75,13.87
cn,tongliao,43.6125,122.265278,15.58,32,0,14.58
pt,campo,40.710857,-7.91445,46.4,93,0,9.17
pe,cascas,-7.4833333,-78.8166667,51.71,94,88,1.95
ph,buluan,6.7202779999999995,124.801944,84.07,61,64,4.18
br,catende,-8.666667,-35.716667,65.03,93,48,3.4
co,tibacuy,4.351111,-72.456389,85.69,45,0,13.69
ro,beba,46.133333,20.316667,28.4,100,0,3.36
fr,saint-die,48.281037,6.959461,36.46,90,90,6.93
il,ofaqim,31.314099,34.620254,52.57,92,48,2.73
ph,daan banua,10.903537,123.059704,78.58,88,80,7.09
za,carnarvon,-30.968265999999996,22.133026,60.53,95,76,9.33
zm,luwingu,-10.266666699999998,29.9,60.31,94,92,2.51
ru,gorno-chuyskiy,57.642778,111.721944,-10.08,64,32,3.18
yt,chirongui,-12.9319444,45.1483333,77,94,36,1.12
it,bolzano,46.516667,11.366667,19.4,79,40,5.82
lu,reckange,49.7497222,6.0830556,30.2,100,0,10.29
ch,flums,47.092512,9.342604,35.6,93,90,5.82
mx,lopez mateos,19.558332999999998,-99.261389,61.57,37,90,5.82
it,borgosesia,45.716667,8.266667,29.55,86,75,5.82
mx,hoctun,20.866667,-89.2,86,48,75,8.05
hn,la virtud,14.05,-88.7,75.2,78,0,5.82
ro,corbu,44.483333,24.716667,29.66,95,88,4.52
jm,anchovy,18.4,-77.9333333,78.8,61,20,11.41
ph,lucmayan,10.4726,122.519,81.19,100,48,16.49
mx,tizayuca,19.833333,-98.983333,66.2,37,90,5.82
ph,malatap,14.1871,122.5119,79.39,92,48,28.45
fr,toul,48.674594,5.892905,34.39,97,75,6.93
in,rayagada,19.166667,83.416667,68.77,70,0,4.18
cu,san luis,22.2786111,-83.7611111,73,94,0,5.3
us,lindenhurst,40.6866667,-73.3738889,50.88,93,90,8.05
nl,neerijnen,51.83442,5.278538,35.62,94,40,9.17
au,craigieburn,-37.6,144.95,68.07,45,90,12.75
fr,ales,44.131126,4.087188,41.9,65,0,4.7
in,sabalgarh,26.25,77.4,59.36,95,92,9.33
ga,omboue,-1.5666666999999999,9.25,81.05,100,88,8.32
ca,hanna,51.633333,-111.916667,-21.82,29,0,2.95
dk,svogerslev,55.634232,12.014654,37.4,90,8,24.16
ru,kormilovka,55.002644,74.10281,3.2,77,0,11.18
br,jeronimo monteiro,-20.783333,-41.4,66.88,86,0,3.96
in,mughal sarai,25.3,83.116667,63.37,81,88,3.62
bf,bobo dioulasso,11.2,-4.3,71.6,24,0,4.7
ph,buenavista,10.1776,123.6013,84.2,74,90,9.17
cz,trebechovice pod orebem,50.201595000000005,15.988212,37.4,74,90,6.93
hn,trojas,15.35,-86.7,67.33,93,12,1.61
jp,wakkanai,45.409444,141.673889,17.6,67,75,26.4
ru,skovorodino,53.983332999999995,123.916667,1.85,46,56,7.99
co,sucre,5.918328,-73.79109,60.58,98,48,2.28
ph,san juan,13.5232,122.5813,79.48,83,88,19.84
br,ji-parana,-10.833333,-61.966667,74.98,94,88,2.39
de,oerlinghausen,51.966667,8.666667,33.8,86,75,11.41
de,nidda,50.416667,9,33.8,91,75,10.29
ro,somes-odorhei,47.316666999999995,23.266667,33.8,97,88,4.7
cn,dongning,44.062188,131.120752,6.08,32,36,9.22
lk,badulla,6.9833333,81.05,71.47,82,12,1.61
ph,santiago,7.288889,126.573333,79.93,88,92,2.28
ph,basiao,11.548611,122.6375,75.34,100,92,5.19
ru,korocha,50.813203,37.185976,17.6,72,0,13.42
in,dhali,10.5,77.166667,71.6,83,40,5.82
mx,coahuayana,18.7,-103.658333,78.31,94,12,3.29
us,manhattan,39.1836111,-96.5713889,23.88,53,1,3.36
ir,zarand,30.812709,56.563993,22.28,68,24,2.39
hu,berzence,46.209075,17.148103,21.07,83,80,2.95
us,tacoma,47.2530556,-122.4430556,41.74,60,40,8.21
ro,ciuhoiu,47.233333,22.116667,33.8,86,88,4.7
lu,biwer,49.7027778,6.3747222,30.2,100,0,10.29
am,amasia,40.9466667,43.7813889,33.8,86,75,3.36
am,ayrum,41.195,44.8925,35.6,93,0,5.82
co,cerete,8.884788,-75.790522,80.6,83,0,5.82
ua,ozerna,49.628909,25.328947,23.36,92,68,5.41
ru,teguldet,57.306389,88.166667,3.79,82,36,3.85
in,kankon,15.016667000000002,74.016667,77.81,100,0,9.78
kz,aksu,52.458611,71.985833,-5.8,56,20,2.84
ro,toplita,45.683333000000005,22.783333,28.76,92,92,2.73
in,ghanaur,30.332221999999998,76.607222,53.33,97,92,20.85
ph,maslog,13.1046,123.7713,77.63,95,76,12.01
ru,turan,52.145278000000005,93.919167,-3.15,76,32,0.83
cz,doudleby nad orlici,50.107118,16.258362,37.4,74,90,6.93
